Item Number	Name	Summary	Inventory Enforce	Inventory Level	Inventory Minimum Level	Weight	Units	Image URL	Thumbnail URL	Variation #1	Tag	By-Line	Text	Feature #1	Feature #2	Feature #3	Feature #4	Feature #5	Feature #6	Feature #7	Feature #8	Feature #9	Feature #10	Feature #11	Feature #12	Specification #1	Specification #2	Specification #3	Specification #4	Specification #5	Specification #6	Specification #7	Specification #8	Specification #9	Specification #10	Specification #11	Specification #12	Keywords	UPC	ISBN	Related Item #1	Related Item #2	Related Item #3	Related Item #4	Related Item #5	Related Item #6	Delete	Price (Standard Pricing-USD)	Sale Price (Standard Pricing-USD)	Available (Standard Pricing-USD)	On Sale (Standard Pricing-USD)	Featured (Standard Pricing-USD)	Tax Free (Standard Pricing-USD)	Extra Shipping (Standard Pricing-USD)
ABC230	Benefit 3D Clean Toothbrush	Helps you brush your teeth right every time almost automatically.	F	0	0	0		/members/270651/uploaded/3D_Clean_heads.jpg				Helps you brush your teeth right every time almost automatically.	The <b>Benefit 3D Clean Toothbrush</b> has a unique three brush, flexible head design which allows users to clean all three tooth surfaces while it removes plaque buildup and stimulates the gums. This toothbrush brushes your teeth right every time almost automatically. It is accepted by the American Dental Association. The bristles completely surround the teeth, and automatically adjust to tooth contours, lengths and widths. It makes brushing easier, faster and better. <br><br>  The Benefit Toothbrush is accepted as an effective cleansing device that has been shown to remove plaque and reduce gingivitis when used as directed in a program of good oral hygiene to supplement regular professional care.	3 flexible heads.	Tongue cleaner.	Non slip grip handle. 										Overall length:;7 inches.	Handle length:;4 ½ inches.	Width:;1 inch wide at  ends, tapered in center.	Colors:;Assorted (sorry, no color choice).									benefit 3d clean toothbrush, benedent, 3d toothbrush, triple headed toothbrush, toothbrush, benefit toothbrush, 3 head toothbrush, 3 in 1 toothbrush, tongue scraper, tongue cleaner, toothbrush with flexible head, gingivitis reducer, gum stimulator, brushing teeth aid, dental aid, 3 in one toothbrush, benedent toothbrush, for in home care, stroke, elderly, Parkinson's, disabled, handicapped, geriatric, caregiver aids, products, supplies, caregiving, bedridden			Grooming and Hygiene Aids;L;/site/270651/page/937919	Original Chair Aerobics for Everyone DVD;P;AEG6943	Quick Bib;P;CQB				N	4.95	0.00	T	F	F	F	0.00
ABC231	Benefit 3D Clean Toothbrush Junior	Helps children brush their teeth correctly and easily.	F	0	0	0		/members/270651/uploaded/3D_Clean_Jr._colors.jpg				Helps children brush their teeth correctly and easily.	It is very tough to get children to brush their teeth and brush correctly. The <b>Benefit 3D Clean Toothbrush Junior</b> helps children brush their teeth right every time almost automatically.  The brush's unique flexible three independent head design allows kids to clean all tooth surfaces in a single brushing stroke while effectively removing plaque and gently massaging gum tissue. <br><br> The Toothbrush Junior makes better brushing simple and easy. The bristles completely surround the teeth, and automatically adjust to tooth contours, lengths and widths. It makes brushing easier, faster and better. It is accepted by the American Dental Association.	3 flexible heads. 	Tongue cleaner. 	Non slip grip handle. 										Overall length:  ;6 1/2 inches. 	Handle length:  ;4 1/2 inches.	Handle Width:  ;3/4 inch.	Color:;Colors: Assorted (sorry, no color choice).									benefit 3d clean toothbrush junior, benefit toothbrush, toothbrush for children, toothbrush junior, benedent toothbrush, 3d toothbrush, triple head toothbrush, kids toothbrush, dental care, dental aids, for in home care, stroke, elderly, Parkinson's, disabled, handicapped, geriatric, caregiver aids, products, supplies, caregiving, bedridden, benedent toothbrush			Squiggle Wiggle Writer;P;AKE40050	Grooming and Hygiene Aids;L;/site/270651/page/937919	Good Grips Utensil Strap;P;NC3534				N	4.95	0.00	T	F	F	F	0.00
ABH34115	MediBeads Standard Pad	Delivers moist heat.	F	0	0	0		/members/270651/uploaded/ABH34110Standard.jpg				Microwaveable Heating Pad!	The <b>MediBeads Standard Pad</b> is designed to deliver a moist heat treatment when it's convenient to just lie back in bed or sit in a comfortable chair. The size works well for treating shoulders, lower back, and abdomen. This size also gets the bed cozy and warm on winter nights. 9 x 12 inches.<br><br> 																									medibeads standard pad, medibeads, standard, heating pad, moist heat treatment, shoulders, lower back, abdomen, heat pad, hot pad, warm pad, heat, hot, warm, moist			Microwavable Moist Heat Wraps;L;/site/270651/page/912440						N	18.95	14.95	T	F	F	F	0.00
ABH34125	MediBeads King Pad	Microwavable Moist Heating Pack.	F	0	0	0		/members/270651/uploaded/ABH34120King.jpg				Microwavable Moist Heating Pack!	The <b>MediBeads King Pad</b> is designed to treat larger areas such as the legs, upper back, or full abdominal area. The larger size drapes easily, assuring complete conformity to the body area being treated. 12 x 16 inches.<br><br> 																									Medibeads king pad, medibeads, king, pad, legs, upper back, abdominal area, heat, hot, warm			Microwavable Moist Heat Wraps;L;/site/270651/page/912440						N	28.95	22.95	T	F	F	F	0.00
ABH34130	MediBeads Neck Rest	Microwavable Moist Heat Pads.	F	0	0	0		/members/270651/uploaded/ABH34130NeckRest.jpg				Microwavable Moist Heat Pads!	The <b>MediBeads Neck Rest</b> is designed to relieve tight, sore muscles resulting from stress, tension, and prolonged static activities. Deeply penetrating heat helps restore muscles to a relaxed and natural healthy state. 14 x 10 inches.<br><br> 																									MediBeads Neck Rest, medibeads, neck, rest, tight muscles, relief, stress tension, deeply penetrating, heat, restore, muscles, relax, in home care, stroke, elderly, Parkinson's, disabled, handicapped, geriatric, caregiver aids, supplies, products, bedridden			Microwavable Moist Heat Wraps;L;/site/270651/page/912440						N	18.95	13.95	T	F	F	F	0.00
ABH34150	Medibeads Compress	Drap around the neck and shoulders to relieve tension and stress.	F	0	0	0		/members/270651/uploaded/Medibeads-Compress.jpg				Drap around the neck and shoulders to relieve tension and stress.	The <b>Medibeads Compress</b> was designed to drape comfortably around the neck and shoulders to relieve tension and stress. Use as a wrist rest while typing or place on face to relieve headaches and sinus pressure. <br><br> Microwave Activated Moist Heat Wraps provide a naturally occurring therapeutic moist heat treatment that is effective, clean, convenient and economical. Safe and easy to use, the wraps are ready in just minutes. They are washable, odor free, do not dry out or support bacteria growth. No added water, wires, boiling or covers needed. A full range of anatomically designed wraps is available to improve compliance with prescribed range of motion exercise programs.	Can be used warm or cold.	Microwave Activated! Ready in just minutes.	Recommended for Neck, Shoulders, Face, and Head.										Size:;4 x 22 inches.												medibeads compress, neck, shoulders, relieve tension stress, wrist rest, face to relieve headaches, sinus pressure, heat wrap, moist heat wrap, for in home care, stroke, elderly, Parkinson's, disabled, handicapped, geriatric, caregiver aids, products, supplies, caregiving, bedridden 			Maddox Professional Helper Knife;P;AIT100	HTA Pain Relief Spray;P;ABH46004	Microwavable Moist Heat Wraps;L;/site/270651/page/912440				N	12.95	0.00	T	F	F	F	0.00
ABH34315	MediBeads Sinus Wrap	Microwavable Moist Heat Wraps.	F	0	0	0		/members/270651/uploaded/ABH34310Sinus.jpg				Designed for facial area	The <b>MediBeads Sinus Wrap</b> is designed for the facial area. It is ideal for relief of sinus pressure, headaches, migraines, TMJ, Dry Eye Syndrome, fatigue, and stress. 7 x 11 inches.<br><br> 	Ideal for relief of sinus pressure, headaches, migraines, TMJ, Dry Eye Syndrome, fatigue, and stress.												Measures:;7 x 11 inches.												medibeads sinus wrap, sinus wrap, facial, relief, sinus pressure, headaches, migraines, TMJ, Dry Eye Syndrome, fatigue, stress, for in home care, stroke, elderly, bedridden, Parkinson's, disabled, handicapped, geriatric, caregiver aids, products, supplies			Microwavable Moist Heat Wraps;L;/site/270651/page/912440	Travel Core Pillow;P;CCP225	Crescent Pillow Mate;P;ADM500				N	12.95	10.95	T	F	F	F	0.00
ABH34325	MediBeads Neck Wrap	Prevent and treat pain, tension, and stress.	F	0	0	0		/members/270651/uploaded/ABH34320NeckWrap.jpg				Microwavable Heat Pack!	The wrap is designed with an elongated area in the back to comfortably drape around the neck to reach lower neck muscles. The <b>MediBeads Neck Wrap</b> helps prevent and treat pain, tension, and stress. 8 x 22 inches plus ties. 	Helps prevent and treat pain, tension, and stress.												Measures:;8 x 22 inches												MediBeads Neck Wrap, wrap, neck, elongated, muscles, prevent, relieve, relief, pain, treat, tension, stress, for in home care, stroke, bedridden, elderly, Parkinson's, disabled, handicapped, geriatric, caregiver aids, supplies, products			Microwavable Moist Heat Wraps;L;/site/270651/page/912440	Gel mattress overlay;P;CAC63	Neck Pillow;P;ADM500				N	22.95	15.95	T	F	F	F	0.00
ABH34345	MediBeads Therapy Wrap	Allows freedom of motion.	F	0	0	0		/members/270651/uploaded/ABH34340TherapyWrap.jpg				Microwaveable Heat Packs!	The <b>MediBeads Therapy Wrap</b> is designed to allow freedom of motion while applied. The easy to use ties allow for application to the back, abdomen, or shoulder. 7 x 14 inches. Fits up to 60 inches diameter. 	Designed to allow freedom of motion while applied.	Fits up to 60 inches diameter.											Size:;7 x 14 inches												wrap, freedom, motion, medibeads, relief, relieve, in home care stroke, elderly, Parkinson's, disabled, handicapped, geriatric, caregiver aids, supplies, products, bedridden, for back, abdomen, shoulder therapy			Microwavable Moist Heat Wraps;L;/site/270651/page/912440	Dual Position Wedge;P;CHP5032	BackMax Body Wedge Cushion;P;CCP30100				N	22.95	15.95	T	F	F	F	0.00
ABH34350	Medibeads Compress Wrap	Drapes over the shoulder, neck, head, back or hips to relieve pain anywhere it strikes.	F	0	0	0		/members/270651/uploaded/Medibeads-Compress-Wrap.jpg				Drapes over the shoulder, neck, head, back or hips to relieve pain anywhere it strikes.	This soft conforming <b>MediBeads Compress Wrap</b> drapes over the shoulder, neck, head, back or hips to relieve pain anywhere it strikes. Secures with convenient ties. <br><br> Microwave Activated Moist Heat Wraps provide a naturally occurring therapeutic moist heat treatment that is effective, clean, convenient and economical. Safe and easy to use, the wraps are ready in just minutes. They are washable, odor free, do not dry out or support bacteria growth. No added water, wires, boiling or covers needed. A full range of anatomically designed wraps is available to improve compliance with prescribed range of motion exercise programs.	Can be used warm or cold.	Microwave Activated! Ready in just minutes.	Recommended or Neck, Shoulders, Face, and Head.										Measures:;5.5 x 18.5 inches.												medibeads compress wrap, microwave moist heat wrap, shoulder, neck, head, back, hips, relieve pain, for in home care, stroke, elderly, Parkinson's, disabled, handicapped, geriatric, caregiver aids, products, supplies, caregiving, bedridden			Microwavable Moist Heat Wraps;L;/site/270651/page/912440	Assist-A-Tray;P;AST2050	DiabEase Skin Calming Cream;P;CMH3806				N	15.95	0.00	T	F	F	F	0.00
ABH34515	MediBeads Hand Wrap	Helps prevent and treat pain caused by Carpal Tunnel Syndrome, Tendonitis, and Arthritis.	F	0	0	0		/members/270651/uploaded/ABH34510HandWrap.jpg				Microwaveable Heat Packs!	Designed to surround the hand or other small joints. Special stretch material is ideal for range of motion exercises. <b>MediBeads Hand Wrap</b> helps prevent and treat pain caused by Carpal Tunnel Syndrome, Tendonitis, and Arthritis. Place wrap in freezer for soothing cold treatment. 5 x 7 inches.<br><br> 																									Carpal Tunnel Syndrome, Tendonitis, Arthritis, hand, joints, joint,  prevent, treat pain, soothing cold treatment, MediBeads Hand Wrap 			Microwavable Moist Heat Wraps;L;/site/270651/page/912440						N	12.95	10.95	T	F	F	F	0.00
ABH34520	MediBeads Carpal Cuff	Microwave for 30 seconds to provide doctor-recommended moist heat therapy.	F	0	0	0		/members/270651/uploaded/medibeads-carpal-cuff_34520_1_800.jpg				Microwave for 30 seconds to provide doctor-recommended moist heat therapy.	The <b>MediBeads Carpal Cuff</b> helps prevent and treat repetitive motion injury. It's unique desi<n ensures comfortable and proper positioning of the wrist.  <br><br> Simply place the Carpal Cuff in the microwave for 30 seconds and the patented MediBeads are ready to provide doctor-recommended moist heat therapy. The Carpal Cuff helps relieve the pain associated with arthritis, joint pain, tendonitis, hand stiffness, and carpal tunnel syndrome. MediBeads, formed through a proprietary process that infuses the beads with a natural antibacterial agent, stay clean and odor-free.  <br><br> The Cuff adapts well to all wrist sizes. Hand washable. 	Can be used for hot or cold therapy.	Designed to help prevent and treat pain caused by Carpal Tunnel Syndrome.	Unlike other grain and pellet products, MediBeads need no special covers, they will not dry out, dissolve or disintegrate.	When microwaved, MediBeads draw moisture from the air and release it as clean, deeply-penetrating moist heat - no need to add water.	Washable and reusable.								Measures:;4.5 x 4.5 inches.												MediBeads Carpal Cuff, helps relieve, pain, arthritis, joint pain, tendonitis, hand stiffness, carpal tunnel syndrome, moist heat therapy, microwave, for in home care, stroke, elderly, Parkinson's, disabled, handicapped, geriatric, caregiver aids, products, supplies, caregiving, bedridden 			HTA Pain Relief Spray;P;ABH46004	Good Grips Utensils;P;NC655	Microwavable Moist Heat Wraps;L;/site/270651/page/912440				N	11.95	9.95	T	F	F	F	0.00
